student_id,full_name,first_name,last_name,email,certificate_url,password,invite_url,registered
spam_1,TURG'UNBOYEVA MALIKAXON,TURG'UNBOYEVA,MALIKAXON,qwe.rtyui.oplkjhgfds.azxc.v.b.nm.hrh@gmail.com,,adu2026_x,,
spam_10,FOZILOVA MOXINUR,FOZILOVA,MOXINUR,q.wer.t.yu.i.op.lkjh.g.fd.sa.z.xc.vb.nm.h.r.h@gmail.com,,adu2026_x,,
spam_100,KARIMOVA NIGORAXON,KARIMOVA,NIGORAXON,q.wer.t.y.uio.plkjhgfd.sazx.c.vbn.m.h.r.h@gmail.com,,adu2026_x,,
spam_101,ISAQOVA OYDINOY,ISAQOVA,OYDINOY,qwer.tyu.io.pl.k.j.hgfd.sazx.cv.bn.m.h.r.h@gmail.com,,adu2026_x,,
spam_102,ABDURAXMONOVA MAXLIYOXON,ABDURAXMONOVA,MAXLIYOXON,q.we.rtyuio.p.l.k.j.h.g.f.d.s.a.zxc.vb.nmhrh@gmail.com,,adu2026_x,,
spam_103,OBIDOVA DIYORAXON,OBIDOVA,DIYORAXON,qw.e.r.ty.u.iopl.kj.h.gf.d.s.az.xcvbnm.hrh@gmail.com,,adu2026_x,,
spam_104,NAZIROVA ODINAXON,NAZIROVA,ODINAXON,q.w.e.r.t.yui.o.p.l.k.jhgf.ds.a.z.x.c.vb.n.m.hr.h@gmail.com,,adu2026_x,,
spam_105,QODIROVA MOXIDILXON,QODIROVA,MOXIDILXON,qwerty.uio.p.lkjhg.fds.azx.cv.bn.mh.rh@gmail.com,,adu2026_x,,
spam_106,SULTONOV XUDOBERDI,SULTONOV,XUDOBERDI,qwe.r.t.yu.ioplk.j.h.g.fdsazxc.vbnm.h.r.h@gmail.com,,adu2026_x,,
spam_107,KOMILOVA MADINAXON,KOMILOVA,MADINAXON,qwe.rtyuiop.lkjh.gf.d.s.a.zxcv.bn.m.hrh@gmail.com,,adu2026_x,,
spam_108,ABDUPATTAYEVA GULCHIROY,ABDUPATTAYEVA,GULCHIROY,q.w.ert.yui.opl.k.jh.gfdsazxcv.b.nm.h.r.h@gmail.com,,adu2026_x,,
spam_109,NAZIROVA ODINAXON,NAZIROVA,ODINAXON,qw.erty.ui.o.plk.j.h.g.f.dsa.zx.cv.bn.mh.r.h@gmail.com,,adu2026_x,,
spam_11,XABIBULLAYEVA ZILOLAXON,XABIBULLAYEVA,ZILOLAXON,q.w.er.tyu.io.pl.k.j.hgf.d.sa.z.xcv.bnm.hrh@gmail.com,,adu2026_x,,
spam_110,SOBIRJONOVA ZEBINISO,SOBIRJONOVA,ZEBINISO,q.wert.yu.io.plkj.hg.fdsazxc.vb.n.m.hr.h@gmail.com,,adu2026_x,,
spam_111,MAXMUDJONOVA MUBINAXON,MAXMUDJONOVA,MUBINAXON,q.we.rt.y.u.ioplk.jhg.f.dsaz.x.c.v.b.n.m.h.r.h@gmail.com,,adu2026_x,,
spam_112,TURG'UNOV JAHONGIR,TURG'UNOV,JAHONGIR,q.we.rty.ui.o.p.l.k.jhg.fd.s.azxcvb.n.mh.rh@gmail.com,,adu2026_x,,
spam_113,ALISHEROVA MUSLIMAXON,ALISHEROVA,MUSLIMAXON,q.we.rt.y.uiop.l.kj.hg.f.d.sazxc.v.bnm.h.rh@gmail.com,,adu2026_x,,
spam_114,IKROMJONOVA MAFTUNAXON,IKROMJONOVA,MAFTUNAXON,qwe.r.tyuio.p.lkj.hg.fds.az.x.c.v.b.n.m.h.r.h@gmail.com,,adu2026_x,,
spam_115,XAKIMOVA MUXAYYOXON,XAKIMOVA,MUXAYYOXON,q.we.rty.uiopl.kjhgf.d.sa.z.xcvb.n.m.h.rh@gmail.com,,adu2026_x,,
spam_116,MAMADALIYEVA MUHLISAXON,MAMADALIYEVA,MUHLISAXON,q.w.er.t.yu.io.p.l.k.j.h.g.f.dsaz.x.cvb.n.m.h.rh@gmail.com,,adu2026_x,,
spam_117,YULDASHEVA ROBIYAXON,YULDASHEVA,ROBIYAXON,q.wer.t.y.u.io.p.lk.jh.gf.d.s.az.xcv.bn.mhr.h@gmail.com,,adu2026_x,,
spam_118,RUSTAMBEKOVA MUSLIMAXON,RUSTAMBEKOVA,MUSLIMAXON,q.w.ert.y.uio.pl.kj.h.gf.d.s.azx.cv.bn.m.h.r.h@gmail.com,,adu2026_x,,
spam_119,USMONOVA YULDUZXON,USMONOVA,YULDUZXON,qw.e.rt.y.u.i.o.plkj.hgfd.s.a.z.x.c.vb.n.mhr.h@gmail.com,,adu2026_x,,
spam_12,SOTVOLDIYEVA MADINAXON,SOTVOLDIYEVA,MADINAXON,qw.e.r.ty.u.i.o.plkj.h.g.f.dsaz.x.c.vbn.m.h.r.h@gmail.com,,adu2026_x,,
spam_120,NEMATOV XOJIAKBAR,NEMATOV,XOJIAKBAR,qwe.rt.y.u.i.op.l.kj.h.g.fd.s.a.z.xc.vb.n.m.hrh@gmail.com,,adu2026_x,,
spam_121,A=E2=80=99ZIMOVA MUBINAXON,A=E2=80=99ZIMOVA,MUBINAXON,qwer.ty.u.i.opl.kj.h.gfds.az.x.cv.bnm.hrh@gmail.com,,adu2026_x,,
spam_122,MUXTOROVA MADINAXON,MUXTOROVA,MADINAXON,qwer.tyui.o.p.lk.jh.g.f.d.s.a.z.x.c.v.b.nm.h.rh@gmail.com,,adu2026_x,,
spam_123,XOSHIMOVA MAFTUNAXON,XOSHIMOVA,MAFTUNAXON,q.wer.ty.ui.op.lk.j.hg.f.dsaz.x.c.vb.n.mh.r.h@gmail.com,,adu2026_x,,
spam_124,KOMILOVA UMIDAXON,KOMILOVA,UMIDAXON,q.wer.t.yui.op.l.kj.h.g.f.dsa.z.xc.vbnmh.rh@gmail.com,,adu2026_x,,
spam_125,MUXTOROVA MADINAXON,MUXTOROVA,MADINAXON,q.werty.u.i.oplkjh.gf.dsazxc.vbn.mh.r.h@gmail.com,,adu2026_x,,
spam_126,IMINOVA ROBIYAXON,IMINOVA,ROBIYAXON,q.w.e.rtyu.i.op.l.kjh.g.f.ds.a.zx.cv.bnm.hr.h@gmail.com,,adu2026_x,,
spam_127,AKBAROVA MAFTUNA,AKBAROVA,MAFTUNA,qwe.rt.yuio.pl.k.j.h.gf.ds.a.zxc.v.bn.mh.rh@gmail.com,,adu2026_x,,
spam_128,O'RUNBOYEVA ZUXRA,O'RUNBOYEVA,ZUXRA,qwe.r.t.y.u.i.o.p.lk.j.hgf.d.s.a.zxc.vbnmhr.h@gmail.com,,adu2026_x,,
spam_129,ODILOVA ROBIYAXON,ODILOVA,ROBIYAXON,q.w.ert.y.u.iop.lkj.hg.f.d.saz.xcv.b.n.mh.r.h@gmail.com,,adu2026_x,,
spam_13,MAXAMMADJONOVA MUSHTARIYBONU,MAXAMMADJONOVA,MUSHTARIYBONU,q.w.er.tyuioplkjhg.fdsa.z.xc.v.bnmhrh@gmail.com,,adu2026_x,,
spam_130,MAHMUTALIYEV MUHAMMADBOBUR,MAHMUTALIYEV,MUHAMMADBOBUR,qwert.y.u.i.oplk.j.hg.fd.sa.z.xc.vb.nmh.rh@gmail.com,,adu2026_x,,
spam_131,ODILOVA ROBIYAXON,ODILOVA,ROBIYAXON,qwer.tyuio.plk.jhgf.dsa.zx.c.v.b.n.m.h.r.h@gmail.com,,adu2026_x,,
spam_132,TOLIBJONOVA MOHINUR,TOLIBJONOVA,MOHINUR,qw.e.r.tyui.o.pl.kjh.g.f.ds.azxcv.b.n.mh.r.h@gmail.com,,adu2026_x,,
spam_133,UMAROVA BEGOYIM,UMAROVA,BEGOYIM,qw.er.ty.u.io.p.lk.jh.gfds.a.z.x.cvbn.m.hrh@gmail.com,,adu2026_x,,
spam_134,RO'ZMAMATOVA NIGORAXON,RO'ZMAMATOVA,NIGORAXON,qw.e.rt.yu.iop.lkj.h.g.fds.a.z.xc.vb.nm.hr.h@gmail.com,,adu2026_x,,
spam_135,YULDASHEVA KAMOLAXON,YULDASHEVA,KAMOLAXON,qwer.ty.u.i.o.plk.j.h.gf.d.saz.xc.vbnmh.rh@gmail.com,,adu2026_x,,
spam_136,XOLDAROVA SARVINOZ,XOLDAROVA,SARVINOZ,qwe.rt.yu.iopl.k.jh.g.f.ds.a.z.x.c.v.bn.m.hr.h@gmail.com,,adu2026_x,,
spam_137,MAXKAMOVA UMIDA,MAXKAMOVA,UMIDA,q.w.er.tyu.i.op.lk.jhgf.d.sa.z.xcv.bnmh.rh@gmail.com,,adu2026_x,,
spam_138,SOBIRJONOVA DILNOZAXON,SOBIRJONOVA,DILNOZAXON,q.wertyu.i.op.lkj.hg.fds.a.z.x.c.v.bn.mhr.h@gmail.com,,adu2026_x,,
spam_139,RUSTAMOVA RO'ZIXON,RUSTAMOVA,RO'ZIXON,qw.e.r.tyuiopl.k.j.hgf.d.sa.z.x.c.v.bn.m.h.r.h@gmail.com,,adu2026_x,,
spam_14,VALIYEVA ZAYNABXON,VALIYEVA,ZAYNABXON,q.wer.t.y.u.io.p.l.k.jhgfdsa.z.x.cv.b.nmhrh@gmail.com,,adu2026_x,,
spam_140,XATAMBEKOVA RUXSHONA,XATAMBEKOVA,RUXSHONA,q.w.er.ty.ui.oplkjh.gfd.s.a.z.x.cv.bnmh.r.h@gmail.com,,adu2026_x,,
spam_141,SOLIYEVA MEHRIBON,SOLIYEVA,MEHRIBON,q.wer.t.y.u.iopl.kj.h.gf.ds.azxcv.b.n.mhr.h@gmail.com,,adu2026_x,,
spam_142,XABIBILLAYEVA GULSANAM,XABIBILLAYEVA,GULSANAM,q.we.rty.u.io.p.l.k.jh.gfd.saz.x.c.vbnm.h.rh@gmail.com,,adu2026_x,,
spam_143,ISROILOVA GULSHONA,ISROILOVA,GULSHONA,qwert.yu.iop.lkj.h.gfd.sazxcv.bnm.hr.h@gmail.com,,adu2026_x,,
spam_144,JAMOLDINOVA RAYYONA,JAMOLDINOVA,RAYYONA,q.we.r.t.yui.op.lk.j.hgf.dsazx.c.v.b.n.m.h.rh@gmail.com,,adu2026_x,,
spam_145,JALILOV XOJIAKBAR,JALILOV,XOJIAKBAR,qwertyuio.p.l.kjhgfd.saz.xc.vb.nm.hr.h@gmail.com,,adu2026_x,,
spam_146,XAYDAROVA IBOGUL,XAYDAROVA,IBOGUL,q.w.e.r.t.yuiop.l.k.j.h.gf.ds.azx.cvb.n.mh.rh@gmail.com,,adu2026_x,,
spam_147,MUTALIBJONOV MUHAMMADO'LMASBEK,MUTALIBJONOV,MUHAMMADO'LMASBEK,q.werty.u.iop.l.kjhgfd.sa.z.x.cv.b.nmhr.h@gmail.com,,adu2026_x,,
spam_148,MADAMINOVA MUBINAXON,MADAMINOVA,MUBINAXON,qwe.r.t.yu.i.opl.kj.h.gf.ds.a.zx.cv.bn.mhrh@gmail.com,,adu2026_x,,
spam_149,MIRZAXMEDOV OYBEK,MIRZAXMEDOV,OYBEK,qw.e.rty.ui.o.p.l.k.j.hgf.d.sazxc.vb.nmh.rh@gmail.com,,adu2026_x,,
spam_15,KOMILOVA MOHLAROYIM,KOMILOVA,MOHLAROYIM,q.wertyu.i.op.lk.j.hg.f.dsa.zx.c.v.bn.m.h.r.h@gmail.com,,adu2026_x,,
spam_150,BO'TABOYEV AZIZBEK,BO'TABOYEV,AZIZBEK,qwert.y.u.i.o.plk.j.h.g.fdsa.zx.cv.bnm.h.r.h@gmail.com,,adu2026_x,,
spam_151,NOZIMOV MUHAMMADSODIQ,NOZIMOV,MUHAMMADSODIQ,q.w.e.r.tyu.iop.l.kjhg.fd.s.a.zxcv.bnm.hrh@gmail.com,,adu2026_x,,
spam_152,NISHONOV MUXAMMADALI,NISHONOV,MUXAMMADALI,qwe.rtyui.o.pl.kj.h.g.f.d.saz.xcvb.nmh.rh@gmail.com,,adu2026_x,,
spam_153,NAZARBAYEV SARVARBEK,NAZARBAYEV,SARVARBEK,qw.erty.uiop.l.k.jh.gf.ds.a.zx.c.v.bnm.hrh@gmail.com,,adu2026_x,,
spam_154,DJURAYEV DILMUROD,DJURAYEV,DILMUROD,q.w.er.ty.u.io.plkjh.gfds.a.z.x.c.v.b.nmhrh@gmail.com,,adu2026_x,,
spam_155,MIROBIDOV SHOYADBEK,MIROBIDOV,SHOYADBEK,q.w.e.r.ty.u.i.oplk.jhg.fd.s.a.zx.cvbnmhr.h@gmail.com,,adu2026_x,,
spam_156,ABDUMUMINOVA MADINABONU,ABDUMUMINOVA,MADINABONU,q.werty.u.iopl.kj.hgf.dsa.zx.c.vb.n.m.hrh@gmail.com,,adu2026_x,,
spam_157,AXMADJONOV ABBOSBEK,AXMADJONOV,ABBOSBEK,qw.erty.u.io.plkj.h.gfdsa.z.x.c.vbnmh.r.h@gmail.com,,adu2026_x,,
spam_158,MAMASHARIPOV MURODILJON,MAMASHARIPOV,MURODILJON,q.w.er.tyui.op.l.kjhgf.d.s.a.z.xc.v.bn.mhr.h@gmail.com,,adu2026_x,,
spam_159,ALIMJONOVA GULXUMOR,ALIMJONOVA,GULXUMOR,qw.e.rt.y.uiop.l.kj.h.g.f.d.s.az.xcvbnm.h.r.h@gmail.com,,adu2026_x,,
spam_16,TIRKASHBOYEVA DILDORAXON,TIRKASHBOYEVA,DILDORAXON,qwe.r.t.y.ui.op.lk.jhgfdsa.zxc.vb.n.m.hr.h@gmail.com,,adu2026_x,,
spam_160,NABIYEVA GULNORA,NABIYEVA,GULNORA,qwer.t.y.uio.plk.jh.g.fds.a.zxc.v.b.n.m.h.r.h@gmail.com,,adu2026_x,,
spam_161,TURSUNBOYEVA FARANGIZ,TURSUNBOYEVA,FARANGIZ,qwer.tyuiop.l.kjh.gfdsa.z.x.c.v.b.n.m.hrh@gmail.com,,adu2026_x,,
spam_162,G'OFUROVA RUQIYAXON,G'OFUROVA,RUQIYAXON,q.wer.ty.u.io.plkjh.g.fd.s.az.xc.v.b.nmhrh@gmail.com,,adu2026_x,,
spam_163,OBIDDINOV IKROMJON,OBIDDINOV,IKROMJON,q.wert.yui.o.p.l.kj.h.gfds.a.z.xc.v.b.nmh.rh@gmail.com,,adu2026_x,,
spam_164,XASANBAYEV OMADBEK,XASANBAYEV,OMADBEK,qw.e.r.tyui.o.pl.kjh.g.f.ds.azx.c.v.b.n.m.h.rh@gmail.com,,adu2026_x,,
spam_165,UKTAMBEKOVA FERUZAXON,UKTAMBEKOVA,FERUZAXON,qw.e.r.tyu.i.op.l.kjh.g.f.d.sazx.c.vb.nmhrh@gmail.com,,adu2026_x,,
spam_166,SOIPOV SOYIBJON,SOIPOV,SOYIBJON,qw.ert.yuio.p.lkjh.gf.d.saz.x.cv.b.n.mhr.h@gmail.com,,adu2026_x,,
spam_167,ANVAROV ISMOILJON,ANVAROV,ISMOILJON,qw.e.r.ty.u.i.op.lkj.hgfdsa.zxcvb.n.m.h.rh@gmail.com,,adu2026_x,,
spam_168,SOTTIMOV DONIYOR,SOTTIMOV,DONIYOR,q.we.rt.y.ui.op.l.k.j.h.gfd.sazxcv.b.n.mh.rh@gmail.com,,adu2026_x,,
spam_169,HAYDAROVA RUQIYA,HAYDAROVA,RUQIYA,qw.erty.u.ioplkjh.g.f.dsazx.c.v.b.nm.h.r.h@gmail.com,,adu2026_x,,
spam_17,XABIBULLAYEVA ZILOLAXON,XABIBULLAYEVA,ZILOLAXON,q.w.e.r.t.y.u.i.opl.kjhgf.d.s.a.zx.cvb.nm.hr.h@gmail.com,,adu2026_x,,
spam_170,MASHRABOV XUSNIDDIN,MASHRABOV,XUSNIDDIN,q.we.rt.yu.io.plk.j.hgfd.s.azxc.v.bn.m.hrh@gmail.com,,adu2026_x,,
spam_171,TURSUNOVA MOXIRAXON,TURSUNOVA,MOXIRAXON,q.we.r.t.y.u.i.o.p.l.kj.h.g.f.d.saz.x.cv.b.n.m.hrh@gmail.com,,adu2026_x,,
spam_172,MIRABDULLAYEVA NILUFAR,MIRABDULLAYEVA,NILUFAR,q.we.rty.ui.opl.k.jh.g.f.d.s.a.zx.cvbnm.h.rh@gmail.com,,adu2026_x,,
spam_173,NURDINOV RO'ZIMUHAMMAD,NURDINOV,RO'ZIMUHAMMAD,qwe.rtyu.i.op.l.k.j.hg.f.d.s.az.xc.v.bn.m.hr.h@gmail.com,,adu2026_x,,
spam_174,TOJIMAXAMATOV O'TKIRBEK,TOJIMAXAMATOV,O'TKIRBEK,q.werty.uiopl.kj.hgf.ds.a.zx.c.vbn.m.h.rh@gmail.com,,adu2026_x,,
spam_175,O'SMONOV IBROXIMJON,O'SMONOV,IBROXIMJON,qwert.y.u.i.oplk.j.hgfds.a.zx.cvb.nmhrh@gmail.com,,adu2026_x,,
spam_176,TURSUNOV MIRZOXID,TURSUNOV,MIRZOXID,q.w.erty.u.i.op.lkj.hg.fdsazx.cv.b.n.m.h.rh@gmail.com,,adu2026_x,,
spam_177,ERGASHEVA MUBINAXON,ERGASHEVA,MUBINAXON,qw.e.r.tyuiopl.k.jhgf.d.s.a.z.xc.v.bn.mhrh@gmail.com,,adu2026_x,,
spam_178,SHAMSHIYEV XOJIAKBAR,SHAMSHIYEV,XOJIAKBAR,qwerty.u.i.oplkjhg.fd.saz.xcv.b.nmhr.h@gmail.com,,adu2026_x,,
spam_179,XABIBULLAYEV AZIZULLO,XABIBULLAYEV,AZIZULLO,qw.e.rt.y.uio.p.l.kj.h.gfds.a.zx.c.vb.n.mh.rh@gmail.com,,adu2026_x,,
spam_18,KARIMOVA MOXLAROY,KARIMOVA,MOXLAROY,q.wert.y.ui.o.p.l.k.jhg.f.dsaz.x.cvb.nmh.r.h@gmail.com,,adu2026_x,,
spam_180,XAITOV MUXIDDIN,XAITOV,MUXIDDIN,q.w.e.r.ty.uio.pl.k.jh.g.fdsazxcvb.nm.h.r.h@gmail.com,,adu2026_x,,
spam_181,AKBARALIYEVA LOLAXON,AKBARALIYEVA,LOLAXON,q.we.r.t.y.u.io.p.l.kj.hg.fds.a.z.xc.v.bnm.h.rh@gmail.com,,adu2026_x,,
spam_182,TURSUNOV FAYOZIDDIN,TURSUNOV,FAYOZIDDIN,q.we.r.t.yui.o.pl.kj.h.gf.dsa.zxcvbn.mhr.h@gmail.com,,adu2026_x,,
spam_183,XAKIMOVA MOXLAROYIM,XAKIMOVA,MOXLAROYIM,qwer.ty.ui.op.lk.jhg.f.ds.azxcvb.nmh.r.h@gmail.com,,adu2026_x,,
spam_184,QAXRAMONOVA FOTIMAXON,QAXRAMONOVA,FOTIMAXON,q.w.e.r.ty.u.i.op.lk.jhgfds.a.zxcvbn.m.hrh@gmail.com,,adu2026_x,,
spam_185,XURRAMOVA SARVARA,XURRAMOVA,SARVARA,q.we.rty.ui.op.l.kj.hg.f.d.sa.zx.cvbn.m.h.rh@gmail.com,,adu2026_x,,
spam_186,ANOROVA MAXLIYOXON,ANOROVA,MAXLIYOXON,qw.ert.y.ui.oplkj.h.g.f.d.sa.z.x.cv.b.n.m.hr.h@gmail.com,,adu2026_x,,
